build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-13T23:02:34Z","13052775770","213524369","39.233694","0.635840"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-13T23:03:53Z","22554499374","313274831","5.676012","0.078262"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-13T23:05:46Z","7662758085","126253767","66.831198","1.102048"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-13T23:06:32Z","18229160072","211779119","7.022468","0.080793"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-13T23:08:03Z","4961919453","11915035","103.186351","0.247611"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-13T23:08:34Z","24939258658","415887443","5.133605","0.085073"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-13T23:10:39Z","4881746673","365401148","105.310222","7.177211"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-13T23:11:10Z","22098097498","572506519","5.795393","0.146644"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-13T23:13:01Z","6224947946","47229373","82.253481","0.625664"
"54ed7a37","8157","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz",,"CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-13T23:13:38Z","26873186046","276153023","4.763515","0.048984"
